trial,model_kind,window_ms,rmse_%BW,mae_%BW,sensortag,metrics_path,outdir,subject,task,lag_ms,lag_ms_num,suspect_lag,rmse_num
AB01_meander_1,hgb,300,37.09078369308852,16.18790393873996,rshank,E:\safestride\out_grid\AB01\AB01_meander_1_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_rshank_hgb_w300,AB01,meander,,,True,37.09078369308852
AB01_lift_weight_2_0lbs-r-r,hgb,300,37.80095759909491,15.49975646241288,lshank,E:\safestride\out_grid\AB01\AB01_lift_weight_2_0lbs-r-r_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_2_0lbs-r-r_lshank_hgb_w300,AB01,lift,,,True,37.80095759909491
AB01_lift_weight_2_0lbs-r-c,hgb,300,26.8060736307354,11.182202779588836,lshank,E:\safestride\out_grid\AB01\AB01_lift_weight_2_0lbs-r-c_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_2_0lbs-r-c_lshank_hgb_w300,AB01,lift,,,True,26.8060736307354
AB01_lift_weight_1_25lbs-r-r,hgb,300,38.40318007949652,16.21171752507335,lshank,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-r_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-r_lshank_hgb_w300,AB01,lift,,,True,38.40318007949652
AB01_lift_weight_1_25lbs-r-c,hgb,300,28.33687854124392,8.091815669445207,lshank,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-c_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-c_lshank_hgb_w300,AB01,lift,,,True,28.33687854124392
AB01_lift_weight_1_25lbs-l-l,hgb,300,44.44388593834704,19.846029863839064,rshank,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-l-l_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-l-l_rshank_hgb_w300,AB01,lift,,,True,44.44388593834704
AB01_jump_2_180,hgb,300,42.75484599156718,13.6888142015229,lathigh,E:\safestride\out_grid\AB01\AB01_jump_2_180_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_lathigh_hgb_w300,AB01,jump,,,True,42.75484599156718
AB01_jump_2_180,hgb,300,46.02030565519204,15.16618697572662,rathigh,E:\safestride\out_grid\AB01\AB01_jump_2_180_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_rathigh_hgb_w300,AB01,jump,,,True,46.02030565519204
AB01_jump_2_180,hgb,300,31.425060770295307,11.861717369145682,lshank,E:\safestride\out_grid\AB01\AB01_jump_2_180_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_lshank_hgb_w300,AB01,jump,,,True,31.425060770295307
AB01_jump_2_180,hgb,300,35.84758966744789,12.998995564945574,rshank,E:\safestride\out_grid\AB01\AB01_jump_2_180_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_rshank_hgb_w300,AB01,jump,,,True,35.84758966744789
AB01_jump_1_hop,hgb,300,25.92458121232813,7.726798186203361,lathigh,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lathigh_hgb_w300,AB01,jump,,,True,25.92458121232813
AB01_jump_1_hop,hgb,300,30.510470591287653,8.897781791506995,rathigh,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rathigh_hgb_w300,AB01,jump,,,True,30.510470591287653
AB01_jump_1_hop,hgb,300,28.66661048574717,9.787870520676906,rpthigh,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rpthigh_hgb_w300,AB01,jump,,,True,28.66661048574717
AB01_jump_1_hop,hgb,300,28.08793692062967,7.89794517225165,lshank,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lshank_hgb_w300,AB01,jump,,,True,28.08793692062967
AB01_jump_1_hop,hgb,300,33.62722024693796,10.09802731039948,lpelvis,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lpelvis_hgb_w300,AB01,jump,,,True,33.62722024693796
AB01_jump_1_hop,hgb,300,26.419465910080227,9.286425396179393,rpelvis,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rpelvis_hgb_w300,AB01,jump,,,True,26.419465910080227
AB01_dynamic_walk_1_butt-kicks,hgb,300,25.055140779195742,7.328692199683992,rathigh,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_rathigh_hgb_w300,AB01,dynamic,,,True,25.055140779195742
AB01_dynamic_walk_1_butt-kicks,hgb,300,25.40563586267709,6.023220264636456,lpelvis,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_lpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_lpelvis_hgb_w300,AB01,dynamic,,,True,25.40563586267709
AB02_ball_toss_1_left,hgb,300,33.475032098567226,10.88106369615995,rshank,E:\safestride\out_grid\AB02_ball_toss_1_left_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_ball_toss_1_left_rshank_hgb_w300,AB02,ball,,,True,33.475032098567226
AB02_cutting_1_left-slow,hgb,300,27.656237489142107,9.728077108129597,rshank,E:\safestride\out_grid\AB02_cutting_1_left-slow_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_left-slow_rshank_hgb_w300,AB02,cutting,,,True,27.656237489142107
AB02_cutting_1_right-fast,hgb,300,30.13219346863288,10.92283722243318,rshank,E:\safestride\out_grid\AB02_cutting_1_right-fast_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_right-fast_rshank_hgb_w300,AB02,cutting,,,True,30.13219346863288
AB02_cutting_1_right-slow,hgb,300,26.516512645116592,10.423839541079856,rshank,E:\safestride\out_grid\AB02_cutting_1_right-slow_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_right-slow_rshank_hgb_w300,AB02,cutting,,,True,26.516512645116592
AB02_jump_1_2_hop,hgb,300,31.46847664766733,11.234781056668355,rshank,E:\safestride\out_grid\AB02_jump_1_2_hop_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_jump_1_2_hop_rshank_hgb_w300,AB02,jump,,,True,31.46847664766733
AB02_jump_1_2_vertical,hgb,300,34.939829575000545,11.995709185809291,rshank,E:\safestride\out_grid\AB02_jump_1_2_vertical_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_jump_1_2_vertical_rshank_hgb_w300,AB02,jump,,,True,34.939829575000545
AB02_lift_weight_1_25lbs-l-c,hgb,300,40.023084396404215,14.57503586315865,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-c_rshank_hgb_w300,AB02,lift,,,True,40.023084396404215
AB02_lift_weight_1_25lbs-l-l,hgb,300,48.702785769142665,21.35241827516164,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-l_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-l_rshank_hgb_w300,AB02,lift,,,True,48.702785769142665
AB02_lift_weight_1_25lbs-r-c,hgb,300,44.22332448866759,19.48951220487201,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-c_rshank_hgb_w300,AB02,lift,,,True,44.22332448866759
AB02_lift_weight_1_25lbs-r-r,hgb,300,30.44783542082552,9.7986408947023,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-r_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-r_rshank_hgb_w300,AB02,lift,,,True,30.44783542082552
AB02_lift_weight_2_0lbs-l-c,hgb,300,42.23960423573956,18.84740342193469,rshank,E:\safestride\out_grid\AB02_lift_weight_2_0lbs-l-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_2_0lbs-l-c_rshank_hgb_w300,AB02,lift,,,True,42.23960423573956
