trial,model_kind,window_ms,rmse_%BW,mae_%BW,sensortag,metrics_path,outdir
AB01_jump_1_hop,hgb,300,28.08793692062967,7.89794517225165,lshank,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lshank_hgb_w300
AB01_jump_1_hop,hgb,300,33.62722024693796,10.09802731039948,lpelvis,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lpelvis_hgb_w300
AB01_jump_1_hop,hgb,300,26.419465910080227,9.286425396179393,rpelvis,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rpelvis_hgb_w300
AB01_dynamic_walk_1_butt-kicks,hgb,300,25.055140779195742,7.328692199683992,rathigh,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_rathigh_hgb_w300
AB01_dynamic_walk_1_butt-kicks,hgb,300,25.40563586267709,6.023220264636456,lpelvis,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_lpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_lpelvis_hgb_w300
AB01_cutting_1_left-fast,hgb,300,26.340512576737265,8.269838782509963,lshank,E:\safestride\out_grid\AB01\AB01_cutting_1_left-fast_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_cutting_1_left-fast_lshank_hgb_w300
AB02_ball_toss_1_left,hgb,300,33.475032098567226,10.88106369615995,rshank,E:\safestride\out_grid\AB02_ball_toss_1_left_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_ball_toss_1_left_rshank_hgb_w300
AB02_cutting_1_left-fast,hgb,300,26.519269088921025,9.97672354650244,rshank,E:\safestride\out_grid\AB02_cutting_1_left-fast_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_left-fast_rshank_hgb_w300
AB02_cutting_1_left-slow,hgb,300,27.656237489142107,9.728077108129597,rshank,E:\safestride\out_grid\AB02_cutting_1_left-slow_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_left-slow_rshank_hgb_w300
AB02_cutting_1_right-fast,hgb,300,30.13219346863288,10.92283722243318,rshank,E:\safestride\out_grid\AB02_cutting_1_right-fast_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_right-fast_rshank_hgb_w300
AB02_cutting_1_right-slow,hgb,300,26.516512645116592,10.423839541079856,rshank,E:\safestride\out_grid\AB02_cutting_1_right-slow_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_right-slow_rshank_hgb_w300
AB02_jump_1_2_hop,hgb,300,31.46847664766733,11.234781056668355,rshank,E:\safestride\out_grid\AB02_jump_1_2_hop_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_jump_1_2_hop_rshank_hgb_w300
AB02_jump_1_2_vertical,hgb,300,34.939829575000545,11.995709185809291,rshank,E:\safestride\out_grid\AB02_jump_1_2_vertical_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_jump_1_2_vertical_rshank_hgb_w300
AB02_lift_weight_1_25lbs-l-c,hgb,300,40.023084396404215,14.57503586315865,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-c_rshank_hgb_w300
AB02_lift_weight_1_25lbs-l-l,hgb,300,48.702785769142665,21.35241827516164,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-l_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-l_rshank_hgb_w300
AB02_lift_weight_1_25lbs-r-c,hgb,300,44.22332448866759,19.48951220487201,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-c_rshank_hgb_w300
AB02_lift_weight_1_25lbs-r-r,hgb,300,30.447835420825516,9.7986408947023,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-r_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-r_rshank_hgb_w300
AB02_lift_weight_2_0lbs-l-c,hgb,300,42.23960423573956,18.84740342193469,rshank,E:\safestride\out_grid\AB02_lift_weight_2_0lbs-l-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_2_0lbs-l-c_rshank_hgb_w300
