subject,trial,task,sensortag,rmse_%BW,mae_%BW,window_ms,bw_kg,outdir,fz_mean,fz_std,fz_min,fz_max,fz_ptp,fz_absmean,fz_p95,fz_p05,kin_rom_knee_deg,kin_knee_peak1_deg,kin_knee_peak2_deg,kin_knee_peak3_deg,kin_frontal_excursion_deg,kin_knee_var_deg,kin_omega_knee_peak_dps,kin_omega_thigh_peak_dps,kin_omega_shank_peak_dps,kin_jerk_rms,stance_count,stance_mean_dur_s,fz_peak_N,fz_peak_%BW,fz_impulse_Ns,fz_stance_dur_s,fz_ttp_s,fz_loading_rate_Ns,lag_ms
AB01,AB01_cutting_1_right-slow,cutting,rpthigh,13.963211840154406,4.973387405141156,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-slow_rpthigh_hgb_w300,635.1592491781026,425.4269503303135,-145.64241285433462,1536.0098171347008,1681.6522299890355,638.9341553276863,1344.9589967640843,-7.320955870913332,54.98626758807225,34.91257972011206,34.912149084382825,34.691942096482485,732.4182840790535,9.336597136344679,662.9403738227279,438.100190573017,426.505179475733,410602.78608025075,24.0,0.04541666666662536,,,,,,,
AB01,AB01_cutting_1_right-slow,cutting,lshank,11.661972393924394,4.748286967060798,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-slow_lshank_hgb_w300,621.3919294138959,424.4998300978245,-153.22108551004948,1536.0542822945083,1689.2753678045578,624.8355811136813,1369.5328251102176,-3.160086527550818,54.98626758807225,34.91257972011206,34.912149084382825,34.691942096482485,732.4182840790535,9.336597136344679,662.9403738227279,438.100190573017,426.505179475733,410602.78608025075,24.0,0.04541666666662536,,,,,,,
AB01,AB01_cutting_1_right-slow,cutting,rshank,13.882335902958284,4.733140806288256,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-slow_rshank_hgb_w300,640.8654475653516,433.3923491354625,-128.2856122323188,1537.1799051126584,1665.4655173449771,645.8397557342148,1349.9204229494817,-12.129623031387773,54.98626758807225,34.91257972011206,34.912149084382825,34.691942096482485,732.4182840790535,9.336597136344679,662.9403738227279,438.100190573017,426.505179475733,410602.78608025075,24.0,0.04541666666662536,,,,,,,
AB01,AB01_cutting_1_right-slow,cutting,lpelvis,13.533799643924649,4.794088465277013,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-slow_lpelvis_hgb_w300,629.2745399151061,424.9059629786612,-184.6893943491525,1536.1034552580622,1720.7928496072147,632.0508928868568,1343.5880501815586,-7.378377416321409,54.98626758807225,34.91257972011206,34.912149084382825,34.691942096482485,732.4182840790535,9.336597136344679,662.9403738227279,438.100190573017,426.505179475733,410602.78608025075,24.0,0.04541666666662536,,,,,,,
AB01,AB01_cutting_1_right-slow,cutting,rpelvis,14.88911561252668,5.488362018047774,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-slow_rpelvis_hgb_w300,623.5626305660261,425.4018694289211,-108.53151999146368,1536.227501051525,1644.7590210429887,626.6833324473128,1377.8768177539412,-2.733691064267767,54.98626758807225,34.91257972011206,34.912149084382825,34.691942096482485,732.4182840790535,9.336597136344679,662.9403738227279,438.100190573017,426.505179475733,410602.78608025075,24.0,0.04541666666662536,,,,,,,
AB01,AB01_cutting_1_right-fast,cutting,lathigh,8.95247911371076,3.6163215601545686,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-fast_lathigh_hgb_w300,585.8669106341188,500.8042220905783,-174.650918327568,1643.6803781941817,1818.3312965217497,591.952134933634,1490.4419863058831,-19.683449910914504,46.425287685618194,33.69005184151006,33.62936613186676,33.49686654017643,923.2340882991169,10.213579078591948,755.876080424938,518.945970570683,505.10609485927,619734.7906947762,24.0,0.035000000000067644,,,,,,,
AB01,AB01_cutting_1_right-fast,cutting,rathigh,13.697709470337973,4.872228361861731,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-fast_rathigh_hgb_w300,596.7600005889669,507.29459002184126,-182.1513724758084,1643.1753223203916,1825.3266947962,604.4538137128399,1485.2712718609423,-21.95041671789081,46.425287685618194,33.69005184151006,33.62936613186676,33.49686654017643,923.2340882991169,10.213579078591948,755.876080424938,518.945970570683,505.10609485927,619734.7906947762,24.0,0.035000000000067644,,,,,,,
AB01,AB01_cutting_1_right-fast,cutting,lpthigh,13.1837131790339,5.516455306224882,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-fast_lpthigh_hgb_w300,585.8173083182361,492.8270481385769,-339.46066513455173,1642.868813049514,1982.329478184066,592.486860599614,1483.7930740935528,-22.34689151869115,46.425287685618194,33.69005184151006,33.62936613186676,33.49686654017643,923.2340882991169,10.213579078591948,755.876080424938,518.945970570683,505.10609485927,619734.7906947762,24.0,0.035000000000067644,,,,,,,
AB01,AB01_cutting_1_right-fast,cutting,rpthigh,10.92304902539846,4.813101141054138,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-fast_rpthigh_hgb_w300,593.0133011639591,492.45014816944274,-189.80542237421457,1643.4070288692292,1833.212451243444,599.4832827977095,1477.7941017721662,-21.423506661253683,46.425287685618194,33.69005184151006,33.62936613186676,33.49686654017643,923.2340882991169,10.213579078591948,755.876080424938,518.945970570683,505.10609485927,619734.7906947762,24.0,0.035000000000067644,,,,,,,
AB01,AB01_cutting_1_right-fast,cutting,lshank,10.32779865910342,4.519087185345042,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-fast_lshank_hgb_w300,590.9959537023148,506.1895726956423,-239.21302539056333,1642.9472042437867,1882.16022963435,597.8215316808729,1507.6276057016496,-17.78705176425314,46.425287685618194,33.69005184151006,33.62936613186676,33.49686654017643,923.2340882991169,10.213579078591948,755.876080424938,518.945970570683,505.10609485927,619734.7906947762,24.0,0.035000000000067644,,,,,,,
AB01,AB01_cutting_1_right-fast,cutting,rshank,11.263758999938004,5.027200503732354,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-fast_rshank_hgb_w300,585.7390503395936,501.9718237038,-244.85251119208297,1642.947560086328,1887.800071278411,596.7999500216499,1485.1294884624062,-29.736702691505837,46.425287685618194,33.69005184151006,33.62936613186676,33.49686654017643,923.2340882991169,10.213579078591948,755.876080424938,518.945970570683,505.10609485927,619734.7906947762,24.0,0.035000000000067644,,,,,,,
AB01,AB01_cutting_1_right-fast,cutting,lpelvis,15.026504395724094,5.732492269095998,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-fast_lpelvis_hgb_w300,588.1848314844716,488.5336360134802,-131.7719814778098,1643.3368189969513,1775.108800474761,592.7185455683821,1478.0195738558075,-17.06376245207995,46.425287685618194,33.69005184151006,33.62936613186676,33.49686654017643,923.2340882991169,10.213579078591948,755.876080424938,518.945970570683,505.10609485927,619734.7906947762,24.0,0.035000000000067644,,,,,,,
AB01,AB01_cutting_1_right-fast,cutting,rpelvis,10.946171148490356,4.623557422841531,300,78.9,E:\safestride\out_grid\AB01\AB01_cutting_1_right-fast_rpelvis_hgb_w300,585.5473007542122,505.5903562786766,-148.52921733826108,1643.230825018922,1791.760042357183,590.3924473843713,1496.505379732974,-16.99878231531272,46.425287685618194,33.69005184151006,33.62936613186676,33.49686654017643,923.2340882991169,10.213579078591948,755.876080424938,518.945970570683,505.10609485927,619734.7906947762,24.0,0.035000000000067644,,,,,,,
AB01,AB01_curb_up_1,curb,lathigh,11.802098523195722,4.3269117698709625,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_up_1_lathigh_hgb_w300,599.785612652828,305.6941524714818,-223.1346727734016,1350.9743906328015,1574.1090634062032,605.7030641424727,1009.35589900216,-15.49967518693994,56.16971093685579,47.50701210208095,47.45484395648384,47.44018614764212,674.3564066430018,10.263156253648415,458.35922833057,293.684774460532,327.823781139926,324563.0017156656,56.0,0.039285714285713445,,,,,,,
AB01,AB01_curb_up_1,curb,rathigh,11.7602556950373,4.0804779369562985,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_up_1_rathigh_hgb_w300,607.8333643562506,306.02968794194504,-215.6575718131245,1347.4452162660516,1563.1027880791762,613.2100663683407,1021.019305581204,-17.514679560586085,56.16971093685579,47.50701210208095,47.45484395648384,47.44018614764212,674.3564066430018,10.263156253648415,458.35922833057,293.684774460532,327.823781139926,324563.0017156656,56.0,0.039285714285713445,,,,,,,
AB01,AB01_curb_up_1,curb,lpthigh,18.829552049210573,7.401451414881879,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_up_1_lpthigh_hgb_w300,577.8060103950978,314.48810575119245,-268.9930246405488,1311.6276473372327,1580.6206719777815,584.850131597377,980.3437018661676,-21.823203457945656,56.16971093685579,47.50701210208095,47.45484395648384,47.44018614764212,674.3564066430018,10.263156253648415,458.35922833057,293.684774460532,327.823781139926,324563.0017156656,56.0,0.039285714285713445,,,,,,,
AB01,AB01_curb_up_1,curb,rpthigh,11.264633735299103,3.833226156802532,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_up_1_rpthigh_hgb_w300,603.9915031440031,310.6239974729043,-202.9755058483844,1351.2188432879848,1554.194349136369,610.1932828855236,1020.180372294442,-20.07163824985635,56.16971093685579,47.50701210208095,47.45484395648384,47.44018614764212,674.3564066430018,10.263156253648415,458.35922833057,293.684774460532,327.823781139926,324563.0017156656,56.0,0.039285714285713445,,,,,,,
AB01,AB01_curb_up_1,curb,lshank,11.190095768083925,4.241802077439583,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_up_1_lshank_hgb_w300,601.0341168308281,304.50239900747965,-198.78107022693453,1349.2054825563528,1547.9865527832874,605.912920845181,996.4770640017148,-12.48739970016548,56.16971093685579,47.50701210208095,47.45484395648384,47.44018614764212,674.3564066430018,10.263156253648415,458.35922833057,293.684774460532,327.823781139926,324563.0017156656,56.0,0.039285714285713445,,,,,,,
AB01,AB01_curb_up_1,curb,rshank,13.9621150188666,4.863964175069122,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_up_1_rshank_hgb_w300,601.7060022916855,310.2988241750276,-320.55328850969545,1348.773223389413,1669.3265118991085,609.3128186646996,1015.040873469924,-20.57652158637542,56.16971093685579,47.50701210208095,47.45484395648384,47.44018614764212,674.3564066430018,10.263156253648415,458.35922833057,293.684774460532,327.823781139926,324563.0017156656,56.0,0.039285714285713445,,,,,,,
AB01,AB01_curb_up_1,curb,lpelvis,12.271771481171676,4.3362951501390645,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_up_1_lpelvis_hgb_w300,606.4038086971857,302.91707513976235,-163.62606972603106,1347.2860141420233,1510.9120838680544,610.6579778584781,1020.2420710276306,-10.324852825477002,56.16971093685579,47.50701210208095,47.45484395648384,47.44018614764212,674.3564066430018,10.263156253648415,458.35922833057,293.684774460532,327.823781139926,324563.0017156656,56.0,0.039285714285713445,,,,,,,
AB01,AB01_curb_up_1,curb,rpelvis,10.905109082500005,3.9825340336394985,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_up_1_rpelvis_hgb_w300,602.7682818493511,309.08153228671387,-191.3874810756804,1350.7008326818732,1542.0883137575536,607.0816433735663,1021.974147370416,-9.0073681440343,56.16971093685579,47.50701210208095,47.45484395648384,47.44018614764212,674.3564066430018,10.263156253648415,458.35922833057,293.684774460532,327.823781139926,324563.0017156656,56.0,0.039285714285713445,,,,,,,
AB01,AB01_curb_down_1,curb,lathigh,12.640558269170604,4.385510910352485,300,78.9,E:\safestride\out_grid\AB01\AB01_curb_down_1_lathigh_hgb_w300,615.7555047723624,318.9306857688048,-142.2325210143321,1665.641627273066,1807.8741482873984,619.5008727620975,1081.8828825188452,-4.719861337869323,83.55040530746018,66.78503190663015,66.71919002859569,66.5447263670067,628.270586312744,18.35060501107566,491.587948378521,331.467195288508,482.296486880715,406928.3496293242,46.0,0.0466304347826077,,,,,,,
