trial,sensortag,model_kind,window_ms,rmse_%BW,mae_%BW,rmse_N,mae_N,metrics_path,outdir,rmse_num,lag_samples,lag_ms,within_cap,path
AB01_stairs_1_1_up,lathigh,hgb,300,25.983173933820336,8.961537703793878,201.04342730724028,69.33942167737618,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_lathigh_hgb_w300,25.983173933820336,,,,
AB01_stairs_1_1_up,rathigh,hgb,300,36.636770769839536,15.186930045865813,283.475066587267,117.50806404455476,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rathigh_hgb_w300,36.636770769839536,,,,
AB01_stairs_1_1_up,lshank,hgb,300,0.1657272760789218,0.0757990462728639,1.282305990255934,0.5864910918169757,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_lshank_hgb_w300,0.1657272760789218,,,,
AB01_stairs_1_1_up,rpelvis,hgb,300,45.34637258765615,20.110001678751097,350.8651477372864,155.6000691427474,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rpelvis_hgb_w300,45.34637258765615,,,,
AB01_stairs_1_10_down,lathigh,hgb,300,36.89935285771652,17.09609621831824,285.50678153597715,132.28013583172338,E:\safestride\out_grid\AB01\AB01_stairs_1_10_down_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_10_down_lathigh_hgb_w300,36.89935285771652,,,,
AB01_stairs_1_10_down,lpthigh,hgb,300,28.6514653708283,12.39148518622803,221.68919048139952,95.87845802100172,E:\safestride\out_grid\AB01\AB01_stairs_1_10_down_lpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_10_down_lpthigh_hgb_w300,28.6514653708283,,,,
AB01_normal_walk_1_2-0,rshank,hgb,300,27.89959106742259,6.481054476527642,215.87160302091704,50.1468145440872,E:\safestride\out_grid\AB01\AB01_normal_walk_1_2-0_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_normal_walk_1_2-0_rshank_hgb_w300,27.89959106742259,,,,
AB01_meander_1,lathigh,hgb,300,42.952375239910445,20.550090737387546,332.3417205000631,159.00523484321343,E:\safestride\out_grid\AB01\AB01_meander_1_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_lathigh_hgb_w300,42.952375239910445,,,,
AB01_meander_1,lpthigh,hgb,300,32.33188191953064,11.63462761943278,250.16621791284427,90.02231282490317,E:\safestride\out_grid\AB01\AB01_meander_1_lpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_lpthigh_hgb_w300,32.33188191953064,,,,
AB01_meander_1,lshank,hgb,300,41.29479113356948,19.80469592544129,319.51625157784514,153.23778210351355,E:\safestride\out_grid\AB01\AB01_meander_1_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_lshank_hgb_w300,41.29479113356948,,,,
AB01_meander_1,rshank,hgb,300,37.09078369308852,16.18790393873996,286.9879674501192,125.25304633890612,E:\safestride\out_grid\AB01\AB01_meander_1_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_rshank_hgb_w300,37.09078369308852,,,,
AB01_lift_weight_2_0lbs-r-r,lshank,hgb,300,37.80095759909491,15.49975646241288,292.48290030210046,119.92854181586368,E:\safestride\out_grid\AB01\AB01_lift_weight_2_0lbs-r-r_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_2_0lbs-r-r_lshank_hgb_w300,37.80095759909491,,,,
AB01_lift_weight_2_0lbs-r-c,lshank,hgb,300,26.8060736307354,11.182202779588836,207.4105699750017,86.52169967299088,E:\safestride\out_grid\AB01\AB01_lift_weight_2_0lbs-r-c_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_2_0lbs-r-c_lshank_hgb_w300,26.8060736307354,,,,
AB01_lift_weight_1_25lbs-r-r,lshank,hgb,300,38.40318007949652,16.21171752507335,297.1425647360831,125.4373026974686,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-r_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-r_lshank_hgb_w300,38.40318007949652,,,,
