subject,trial,task,sensortag,rmse_%BW,mae_%BW,window_ms,bw_kg,outdir,fz_mean,fz_std,fz_min,fz_max,fz_ptp,fz_absmean,fz_p95,fz_p05
AB01,AB01_turn_and_step_1_left-turn,turn,lpthigh,13.639126965930664,5.060698028110233,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lpthigh_hgb_w300,667.6697619940345,240.80503165025254,-192.9374998039605,1168.6292786907286,1361.566778494689,671.5680326849327,859.075267699872,9.25479694286381
AB01,AB01_turn_and_step_1_left-turn,turn,rpthigh,17.796427154564693,6.301902506819985,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rpthigh_hgb_w300,679.4912075729642,215.98755262308327,-227.5097416759296,1176.8521740838682,1404.3619157597977,682.9709465379407,855.1548976990389,77.44809272205238
AB01,AB01_turn_and_step_1_left-turn,turn,lshank,12.9469475731425,4.205096731594708,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lshank_hgb_w300,675.8511301804059,227.1953725933361,-154.3486468125844,1174.589887460032,1328.9385342726164,678.6084331431553,849.828234758465,25.11037013627779
AB01,AB01_turn_and_step_1_left-turn,turn,rshank,17.207843701082773,7.270153561345396,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rshank_hgb_w300,418.90673691071646,358.1701789250566,-214.1807699361461,1131.800408843148,1345.9811787792942,430.03796347936975,817.5018673725682,-35.18093672317631
AB01,AB01_turn_and_step_1_left-turn,turn,lpelvis,16.184841805602222,5.550118036030213,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lpelvis_hgb_w300,677.6567076275288,221.2309991353963,-168.78689858760274,1177.6798681900077,1346.4667667776105,680.0927775818304,850.2741518833201,42.66012526336018
AB01,AB01_turn_and_step_1_left-turn,turn,rpelvis,16.421416639691078,5.8250575322441644,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rpelvis_hgb_w300,667.5175978686475,237.2487189361094,-192.7092633229068,1172.448110493292,1365.1573738161987,670.5593726650438,852.5601808512027,23.217097777345483
AB01,AB01_tug_of_war_1,tug,lathigh,5.402660580644696,1.8558080462153277,300,78.9,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_lathigh_hgb_w300,762.679641241126,102.17652934120987,116.82820288891254,1252.4012500886272,1135.5730471997147,762.679641241126,904.659702465639,589.4301609835204
AB01,AB01_tug_of_war_1,tug,rathigh,5.435615627653636,2.057618577948568,300,78.9,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_rathigh_hgb_w300,761.8717209512945,99.8020275983059,137.9958941169759,1256.3162175934094,1118.3203234764335,761.8717209512945,908.8558755924968,597.389275042491
AB01,AB01_tug_of_war_1,tug,lpthigh,5.033116370422715,1.8089262731039657,300,78.9,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_lpthigh_hgb_w300,762.8007775326464,104.08561264433607,187.9929072880434,1258.3741888604452,1070.3812815724018,762.8007775326464,907.8644075450452,574.5066956758146
AB01,AB01_tug_of_war_1,tug,rpthigh,6.112001625393312,2.160025359161613,300,78.9,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_rpthigh_hgb_w300,762.0804970055956,97.7937418956718,151.0034783628123,1253.5984116090792,1102.594933246267,762.0804970055956,905.7078926175893,602.9923836668596
AB01,AB01_tug_of_war_1,tug,lshank,5.751219556206539,2.148754197775082,300,78.9,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_lshank_hgb_w300,759.9827711623952,101.89539061123699,172.54443302456082,1252.7807918578746,1080.2363588333137,759.9827711623952,907.7649545014439,582.5635812704745
AB01,AB01_tug_of_war_1,tug,rshank,6.497199713165053,2.391346747836538,300,78.9,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_rshank_hgb_w300,760.1382581061794,100.45072871352131,169.1726895762897,1254.567589886679,1085.3949003103892,760.1382581061794,906.8760875724092,584.0499406971101
AB01,AB01_tug_of_war_1,tug,lpelvis,4.891109886590721,1.7698542690718877,300,78.9,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_lpelvis_hgb_w300,762.6890800004177,102.6144438853209,122.89621769966357,1253.9112260455986,1131.015008345935,762.6890800004177,908.5401695086721,594.3531092990169
AB01,AB01_tug_of_war_1,tug,rpelvis,4.3322881677919645,1.6783562808285617,300,78.9,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_rpelvis_hgb_w300,762.5779466576791,102.41537120138216,96.63657852917729,1255.178882147811,1158.5423036186337,762.5779466576791,917.5517063217897,600.1821923715636
AB01,AB01_tire_run_1,tire,lathigh,19.219080343039792,8.606877440881945,300,78.9,E:\safestride\out_grid\AB01\AB01_tire_run_1_lathigh_hgb_w300,682.0399466187721,440.7921794384289,-460.47381114410047,1777.3222001322004,2237.7960112763008,686.4998333650215,1320.4405569398284,34.75908963164524
AB01,AB01_tire_run_1,tire,rathigh,17.955471826768353,8.38941950224933,300,78.9,E:\safestride\out_grid\AB01\AB01_tire_run_1_rathigh_hgb_w300,682.6169186252378,441.2684536300424,-430.2783094739848,1782.3683311011291,2212.646640575114,687.383764131136,1323.9769758595783,25.204205738233558
AB01,AB01_tire_run_1,tire,lpthigh,18.61432298332105,7.871856387423107,300,78.9,E:\safestride\out_grid\AB01\AB01_tire_run_1_lpthigh_hgb_w300,683.7882048716573,449.42266627209705,-341.54322645193866,1779.488193512891,2121.0314199648296,690.8645267158792,1319.7000583208583,2.484931749270311
AB01,AB01_tire_run_1,tire,rpthigh,16.210448705981328,7.139974997347919,300,78.9,E:\safestride\out_grid\AB01\AB01_tire_run_1_rpthigh_hgb_w300,669.8487868525073,458.88264676772354,-556.35899099634,1780.4248078352634,2336.7837988316032,680.977427110095,1323.5971469195126,-18.796205913603764
AB01,AB01_tire_run_1,tire,lshank,17.13599835218112,7.407326897357151,300,78.9,E:\safestride\out_grid\AB01\AB01_tire_run_1_lshank_hgb_w300,679.4486516417375,448.20206234952633,-255.49219732106903,1779.9899997014252,2035.4821970224941,683.6787615629254,1319.8006453596104,19.94439545149387
AB01,AB01_tire_run_1,tire,rshank,18.04273612680848,7.61344037677566,300,78.9,E:\safestride\out_grid\AB01\AB01_tire_run_1_rshank_hgb_w300,682.8999000247942,447.80675302228735,-281.19653487598293,1777.869663206856,2059.066198082839,687.7234631723187,1323.8613228028553,18.341844704873356
AB01,AB01_tire_run_1,tire,lpelvis,15.350076473070857,6.811285733930315,300,78.9,E:\safestride\out_grid\AB01\AB01_tire_run_1_lpelvis_hgb_w300,675.3103768259862,447.9712613163756,-235.4493422866616,1777.5324396361168,2012.9817819227783,680.2100296882784,1319.5027349442673,7.764533457056397
AB01,AB01_tire_run_1,tire,rpelvis,16.990422744727457,6.7525900788816005,300,78.9,E:\safestride\out_grid\AB01\AB01_tire_run_1_rpelvis_hgb_w300,673.0870904134584,455.97814936475567,-240.72125924019284,1777.124175390873,2017.845434631066,679.146510131499,1323.4276659120908,-1.4093993297108236
AB01,AB01_step_ups_2_right,step,lathigh,6.967407700759474,2.297004266479556,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_right_lathigh_hgb_w300,791.2026349635225,261.8664944676791,337.2111387241205,1613.3194158540273,1276.1082771299068,791.2026349635225,1385.09122098089,493.8275061697209
AB01,AB01_step_ups_2_right,step,rathigh,6.41476708072966,2.0171410042940976,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_right_rathigh_hgb_w300,789.434453719254,259.9426863717494,333.5356013805374,1613.2671247607316,1279.7315233801942,789.434453719254,1392.671313387114,504.0343212055071
AB01,AB01_step_ups_2_right,step,lpthigh,6.694661653702338,2.125551513605267,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_right_lpthigh_hgb_w300,792.4981965429168,256.95135406998725,334.2084835289009,1613.6021277222285,1279.3936441933276,792.4981965429168,1368.6291526284529,512.0023999052152
AB01,AB01_step_ups_2_right,step,rpthigh,7.4385832660425075,2.4588325250790244,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_right_rpthigh_hgb_w300,793.8744473271892,261.98875397455856,328.2116909184196,1613.5100863116545,1285.2983953932348,793.8744473271892,1385.794671917999,495.07845247892965
AB01,AB01_step_ups_2_right,step,lshank,6.263791127117123,1.9529241781037656,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_right_lshank_hgb_w300,783.6059649300305,253.64428242748411,333.52100851736776,1613.4319161229685,1279.9109076056006,783.6059649300305,1357.1509932818974,486.00048741028627
AB01,AB01_step_ups_2_right,step,rshank,18.547374484718397,5.711706214393999,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_right_rshank_hgb_w300,786.9299618563489,240.62485578054677,334.9814102842548,1614.1838281299663,1279.2024178457114,786.9299618563489,1352.3738161763993,501.8406775838153
AB01,AB01_step_ups_2_right,step,lpelvis,6.971895426336625,2.2968379448158203,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_right_lpelvis_hgb_w300,791.9648701119938,259.51645107563536,334.43120888810466,1613.9458699286513,1279.5146610405466,791.9648701119938,1391.4344430376016,496.23935479687293
AB01,AB01_step_ups_2_right,step,rpelvis,9.573328180063928,2.965719202493819,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_right_rpelvis_hgb_w300,777.9699394674556,246.98159886270665,333.4438226659215,1613.149703816424,1279.7058811505026,777.9699394674556,1356.600323111436,488.6592429231574
AB01,AB01_step_ups_2_left,step,lathigh,5.482833403948075,1.8169917829069533,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_left_lathigh_hgb_w300,787.8183193401554,254.96803679528657,341.2534221275268,1622.1391465016768,1280.88572437415,787.8183193401554,1364.0245430261227,484.15608370702864
AB01,AB01_step_ups_2_left,step,rathigh,7.479011012529212,2.5350972425125025,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_left_rathigh_hgb_w300,788.0989939632387,250.48463429104262,342.7699287891304,1622.3494711493097,1279.5795423601794,788.0989939632387,1338.6033870497363,479.97355053409694
AB01,AB01_step_ups_2_left,step,lpthigh,9.174998620975344,2.497176832273456,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_left_lpthigh_hgb_w300,793.0774717177482,259.66543965087664,340.0475127911143,1622.4399640346517,1282.3924512435374,793.0774717177482,1348.6028168855798,483.6907003995049
AB01,AB01_step_ups_2_left,step,rpthigh,5.246432633316463,1.9425304145516236,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_left_rpthigh_hgb_w300,788.0398577365971,256.40170819798715,337.6191932477016,1621.8186686051286,1284.199475357427,788.0398577365971,1347.818055072766,479.86836265029626
AB01,AB01_step_ups_2_left,step,lshank,16.926983780084086,5.079175752658576,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_left_lshank_hgb_w300,797.6672552884885,252.83778708374723,335.7683902150335,1622.975090698887,1287.2067004838536,797.6672552884885,1353.388950031944,484.5736542999612
AB01,AB01_step_ups_2_left,step,rshank,6.523549516056429,2.128301579802246,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_left_rshank_hgb_w300,787.8018266921399,263.4135875115842,341.61390943907617,1622.026021704051,1280.4121122649747,787.8018266921399,1343.287867707302,449.6109960173065
AB01,AB01_step_ups_2_left,step,lpelvis,4.9185276373282,1.7065728368587016,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_left_lpelvis_hgb_w300,788.1428995779296,250.32671511598718,342.9742084836826,1622.230784687519,1279.2565762038364,788.1428995779296,1332.1038433296114,483.8020518039608
AB01,AB01_step_ups_2_left,step,rpelvis,6.032982683991437,2.067146560573533,300,78.9,E:\safestride\out_grid\AB01\AB01_step_ups_2_left_rpelvis_hgb_w300,786.5196313234914,249.77038018144535,340.3312242386202,1621.856000047051,1281.5247758084308,786.5196313234914,1330.71629868127,470.07837248295516
AB01,AB01_squats_1_25lbs,squats,lathigh,8.042192631976093,3.0787467414448386,300,78.9,E:\safestride\out_grid\AB01\AB01_squats_1_25lbs_lathigh_hgb_w300,877.0501439181022,283.771112538211,199.8408746920228,1821.189077377116,1621.3482026850934,877.0501439181022,1446.8916667497829,481.6085680998256
AB01,AB01_squats_1_25lbs,squats,rathigh,3.3322298267134745,1.126055620544321,300,78.9,E:\safestride\out_grid\AB01\AB01_squats_1_25lbs_rathigh_hgb_w300,894.193626668866,286.64413779533004,201.3697537370732,1821.6784246282548,1620.3086708911815,894.193626668866,1446.676322253015,482.3963171061009
AB01,AB01_squats_1_25lbs,squats,lpthigh,5.494874025313866,1.964299755898837,300,78.9,E:\safestride\out_grid\AB01\AB01_squats_1_25lbs_lpthigh_hgb_w300,890.4701994563098,289.71235332832885,203.5479189521692,1821.1352624281656,1617.5873434759965,890.4701994563098,1447.9611094713443,482.73910799137957
AB01,AB01_squats_1_25lbs,squats,rpthigh,8.621685955523597,3.500823310535743,300,78.9,E:\safestride\out_grid\AB01\AB01_squats_1_25lbs_rpthigh_hgb_w300,889.351654449244,299.60861659955515,190.5513985853761,1821.3651636142413,1630.8137650288652,889.351654449244,1447.3599067161033,475.7758271054967
AB01,AB01_squats_1_25lbs,squats,lshank,14.948412286175774,5.0959533751244175,300,78.9,E:\safestride\out_grid\AB01\AB01_squats_1_25lbs_lshank_hgb_w300,904.8670682132323,300.30599408696065,202.8374674555513,1821.7213557927469,1618.8838883371955,904.8670682132323,1505.5758503885577,482.1842358882849
