Fx_N,Fy_N,Fz_N,Fx_BW,Fy_BW,Fz_BW
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-6.366143,-21.0485,52.90285,-0.008652589874277947,-0.028608222901800883,0.07190329595650696
-7.278269,-24.91996,65.21822,-0.009892312606184166,-0.033870146109412164,0.0886418212708121
-7.841303,-26.26049,75.86096,-0.010657564390078152,-0.03569213727488957,0.10310697927285084
-8.170695,-25.00693,84.8834,-0.011105259938837922,-0.03398835202174652,0.1153698946653075
-8.485618,-21.69763,92.99498,-0.011533289840299015,-0.029490492694529392,0.1263948080190282
-8.996416,-17.18678,101.305,-0.012227544682296976,-0.02335953788651036,0.13768943255181787
-9.764168,-12.28295,110.9759,-0.013271040434930343,-0.016694461433910974,0.150833707101597
-10.60828,-7.477192,122.9174,-0.014418321440706762,-0.010162680258239892,0.167064084267754
-11.123,-2.857133,137.6111,-0.01511790689772341,-0.003883293238192321,0.18703513421678558
-10.80522,1.796937,155.0857,-0.01468599388379205,0.0024423200815494395,0.21078586476384642
-9.234242,6.811085,175.0029,-0.012550787631668366,0.009257336051647979,0.23785647298674822
-6.223243,12.41088,196.7861,-0.008458366292898404,0.016868338430173293,0.2674632687733605
-1.888566,18.58882,219.7329,-0.0025668583078491333,0.025265130818892284,0.2986515800203874
3.372736,25.08404,243.0842,0.004584078831124703,0.034093156642881414,0.3303896704043493
8.977542,31.46506,266.0614,0.012201891946992864,0.0427659667006456,0.3616193000339789
14.29619,37.27131,287.9005,0.019430771321780494,0.05065757390417941,0.3913020727149168
18.80721,42.1539,307.9047,0.025561957186544346,0.05729378185524975,0.41849092762487256
22.2289,45.96074,325.5152,0.030212572205232754,0.06246787631668366,0.44242636765205573
24.58267,48.73714,340.3836,0.03341171593611961,0.0662414407067618,0.4626348623853211
26.15619,50.65515,352.4254,0.03555037716615698,0.06884831804281345,0.47900156303092084
27.37325,51.92058,361.8328,0.03720455317703024,0.07056823649337411,0.49178769962623176
28.62302,52.70765,369.041,0.03890318722392117,0.07163798844716276,0.5015847774379885
30.12397,53.14048,374.6548,0.04094321440706762,0.07222627251104315,0.5092148148148149
31.87923,53.30698,379.3511,0.04332888888888889,0.07245257220523275,0.515597825348284
33.73128,53.2802,383.7785,0.045846116207951065,0.07241617397213727,0.5216153584777438
35.47407,53.13116,388.4705,0.048214841997961264,0.07221360516479783,0.5279925246347265
36.95708,52.93032,393.7914,0.05023048589874277,0.07194063200815495,0.5352244648318043
38.13098,52.74305,399.9203,0.05182600067957866,0.07168610261637784,0.5435546041454298
39.02641,52.62427,406.8753,0.053043030920829085,0.07152466190961604,0.5530075433231396
39.69855,52.61323,414.5692,0.0539565749235474,0.07150965681277609,0.5634647638464153
40.18334,52.72725,422.878,0.05461548080190282,0.07166462793068297,0.5747577302072715
40.49201,52.95707,431.6997,0.05503501189262657,0.07197698946653075,0.5867478083588176
40.63626,53.26745,440.9855,0.055231070336391436,0.0723988447162759,0.5993686714237173
40.65517,53.60213,450.7394,0.05525677200135915,0.07285372748895685,0.6126257560312606
40.61848,53.89079,460.9983,0.055206904519198095,0.07324606184165817,0.6265692150866462
40.60451,54.05871,471.8017,0.055187917091403325,0.07347429153924566,0.6412527353041114
40.67272,54.04017,483.1638,0.05528062521236833,0.07344909276248726,0.656695616717635
40.8542,53.79174,495.0498,0.05552728508324838,0.0731114373088685,0.6728505606523956
41.16533,53.29965,507.3605,0.05595015970098539,0.07244260958205913,0.6895827387020047
41.62883,52.57849,519.9253,0.05658012911994564,0.07146243968739383,0.7066602786272511
42.27915,51.66447,532.5066,0.05746401630988787,0.07022014271151886,0.7237602446483181
43.1441,50.60871,544.8215,0.05863961943594971,0.06878519877675841,0.7404981311586817
44.21603,49.47391,556.5771,0.06009654094461434,0.06724282704723071,0.7564758409785932
45.43697,48.33154,567.5104,0.06175599048589875,0.06569016649677199,0.771335915732246
46.71238,47.25275,577.4217,0.06348947332653755,0.06422392116887529,0.7848069317023445
47.94624,46.2913,586.1982,0.06516648318042814,0.06291715936119606,0.7967355759429154
49.07431,45.4685,593.8227,0.06669970778117566,0.061798844716275905,0.8070984709480123
50.07457,44.77314,600.3709,0.0680592184845396,0.06085374108053007,0.8159985049269453
50.95044,44.17865,605.9946,0.06924966360856269,0.060045735643900776,0.823641997961264
51.70193,43.66321,610.8912,0.0702710567448182,0.05934517159361196,0.8302972477064221
52.30711,43.21598,615.263,0.0710935915732246,0.058737315664288144,0.836239211688753
52.72802,42.82558,619.2751,0.07166567448182128,0.058206700645599734,0.841692286782195
52.93682,42.46211,623.0237,0.07194946653075093,0.05771268773360517,0.8467872239211688
52.94115,42.06775,626.5261,0.07195535168195719,0.0571766904519198,0.851547536527353
52.7873,41.56351,629.7297,0.07174624532789671,0.056491348963642544,0.8559017329255861
52.53635,40.86792,632.5319,0.07140516479782534,0.055545932721712536,0.8597103635745836
52.22995,39.91855,634.8067,0.07098871899422358,0.05425558953448862,0.8628021746517159
51.87114,38.68957,636.4325,0.07050103975535167,0.05258521236833164,0.8650118926265715
51.43264,37.20186,637.3159,0.06990504926945294,0.05056318042813456,0.8662125722052328
50.88294,35.52253,637.4044,0.06915792048929663,0.048280706761807686,0.8663328576282705
50.20824,33.75167,636.6903,0.06824089704383283,0.045873829425756026,0.8653622833843017
49.41554,32.00218,635.2078,0.06716349303431872,0.04349599728168536,0.8633473326537547
48.51951,30.38117,633.0282,0.06594564729867482,0.04129278967040435,0.8603849133537207
47.52851,28.97579,630.2521,0.06459872239211688,0.039382657152565406,0.8566117567108393
46.44391,27.84062,626.9984,0.0631245803601767,0.037839782534828406,0.8521894665307509
45.27485,26.98663,623.3886,0.06153564390078152,0.03667907577302073,0.8472831804281346
44.05594,26.37663,619.5316,0.0598789534488617,0.03584998980632008,0.8420409106354061
42.85067,25.932,615.5136,0.05824080190282025,0.035245667686034654,0.8365798165137615
41.73261,25.55098,611.3995,0.056721182466870544,0.03472780156303092,0.8309881073734284
40.75482,25.13382,607.2419,0.055392212028542304,0.034160815494393475,0.8253372748895684
39.92816,24.6053,603.092,0.05426865103635745,0.033442473666326876,0.8196969079170914
39.22282,23.92503,599.0054,0.05330998301053347,0.03251787971457696,0.8141425756031261
