trial_id,start_idx,rmse,mae,pearson_r,bias,stderr,nrmse,nrmse_bw,y_true_median_abs,y_pred_median_abs
gt_small_016,2944,211.9295408008622,181.32039201259613,0.8848782812585424,-27.92322462797165,210.08194541759215,0.6276224816279282,0.28804558722509305,337.67041015625,305.1512756347656
gt_small_016,3072,241.37455075547487,208.61731949448586,0.8442631164956474,-65.57639214396477,232.2959546479195,0.4004706836608981,0.32806598811481463,602.7271423339844,393.7497863769531
gt_small_016,3200,240.89548656640216,207.23045009374619,0.8426850701947133,-43.034466207027435,237.02040031680787,0.6221684760178063,0.32741486451430807,387.18690490722656,330.6015930175781
gt_small_016,3328,223.45912962412177,191.28711333870888,0.8616681054518365,-55.45314845442772,216.46923785808752,0.3802022546776555,0.3037161122991801,587.7375183105469,393.4668731689453
gt_small_016,3456,222.21458144850953,191.3755538314581,0.8590108431337311,-16.814956679940224,221.57747502891178,0.7039365828828281,0.30202457553314244,315.6741485595703,318.49957275390625
gt_small_016,3584,235.21647263028416,199.02695271372795,0.8209031390165894,-46.01400390267372,230.67184579284475,0.3852505344233964,0.3196961911386805,610.5545654296875,410.6767272949219
gt_small_016,3712,241.49162648967203,208.6611666083336,0.8198121399010889,-26.21086174249649,240.06498368429953,0.6035297575424412,0.3282251124562311,400.13209533691406,336.9542694091797
gt_small_017,0,530.9376774545252,426.0076223015785,0.7150972582391979,-89.38383167982101,523.359673623254,0.6807108494283496,0.7216278320822633,779.975341796875,728.5729675292969
gt_small_017,128,499.18642391637707,398.8179204016924,0.7385783425284409,-79.47104613482952,492.81988459137557,0.8589055438139505,0.6784728833386029,581.18896484375,636.9131164550781
gt_small_017,256,551.2351219575813,450.8486209511757,0.7107904965273473,-156.38555389642715,528.5865285949853,0.5687449796359539,0.749215252405819,969.2131652832031,736.4042053222656
gt_small_017,384,504.7793045168977,416.26488406956196,0.7569137239999766,-71.78272645175457,499.64926343557784,0.6298662710638846,0.6860744879604453,801.4071044921875,777.5213012695312
gt_small_017,512,476.68662864247085,387.08996054530144,0.7736038502000622,-61.78371396660805,472.66575358811144,0.8026116442154834,0.6478921218382206,593.9194030761719,686.7781372070312
gt_small_017,640,544.3906268891953,435.8921312689781,0.6891897163786201,-175.85704797506332,515.2042830977897,0.5588833725973212,0.7399125068150804,974.0683898925781,706.0280456542969
gt_small_017,768,514.2871583329128,409.7502589970827,0.6837575871237784,-142.74008958041668,494.08151964298077,0.5830825138636234,0.6989971570953623,882.0143737792969,668.2470092773438
gt_small_017,896,487.94792402499525,382.5595352053642,0.7062940733729676,-123.25848060846329,472.1234197944386,0.7142287476644179,0.6631979939177646,683.1815795898438,616.8405456542969
gt_small_017,1024,522.2792404348477,422.2703588306904,0.663974177506013,-148.43988844752312,500.7406559356734,0.49729701611570803,0.7098596540059092,1050.2360229492188,713.9083862304688
gt_small_017,1152,466.6998319121292,385.6812534481287,0.7018591701607444,-78.4520016759634,460.0587098836889,0.529050924541405,0.6343184939342564,882.1453857421875,725.1427917480469
gt_small_017,1280,449.0007702673146,363.4557253718376,0.7298909678480218,-104.1544001698494,436.75342314159445,0.6073116541616281,0.6102626846990344,739.3251342773438,630.8905029296875
gt_small_017,1408,546.1243763622589,441.0569824129343,0.6778234532177799,-225.11625967919827,497.5685923419142,0.5195261831943664,0.7422689451067059,1051.197021484375,609.9324340820312
gt_small_017,1536,530.325845147267,408.91020119190216,0.6384571316579445,-176.07997274398804,500.2412870102182,0.6481549473427363,0.7207962557217357,818.2084350585938,601.8685913085938
gt_small_017,1664,499.813506442814,387.8732885569334,0.647676589398061,-158.16881366074085,474.12674213528044,0.6649528989410595,0.6793251871461964,751.6524963378906,580.8733215332031
